POST. DATE, TRANSACTION, TAG/LICENSE, ENTRY DATE, ENTRY PLAZA, EXIT DATE, EXIT PLAZA, CLASS, AMOUNT
9/12/2022 12:54:19 AM, AWAY AGENCY TOLL,00605942686,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 2:44:05 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:19 AM, AWAY AGENCY TOLL,00605944417,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 2:59:59 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:20 AM, AWAY AGENCY TOLL,00605942669,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 5:55:50 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:20 AM, AWAY AGENCY TOLL,00605944422,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 5:55:57 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:20 AM, AWAY AGENCY TOLL,00605942645,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 6:10:12 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:20 AM, AWAY AGENCY TOLL,00605944434,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 6:15:53 AM,Delaware DOT - D95,2  ,4
9/12/2022 12:54:20 AM, AWAY AGENCY TOLL,00605942435,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 6:20:30 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:21 AM, AWAY AGENCY TOLL,00605942676,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 6:59:28 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:21 AM, AWAY AGENCY TOLL,00605944398,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 7:17:30 AM,Delaware DOT - D95,3  ,6
9/12/2022 12:54:21 AM, AWAY AGENCY TOLL,00605942405,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 8:27:10 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:22 AM, AWAY AGENCY TOLL,00605942631,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 9:19:12 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:22 AM, AWAY AGENCY TOLL,00605942451,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 9:27:18 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:22 AM, AWAY AGENCY TOLL,00605942658,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 9:44:08 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:23 AM, AWAY AGENCY TOLL,00605942640,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 11:00:43 AM,Delaware DOT - D95,3  ,6
9/12/2022 12:54:24 AM, AWAY AGENCY TOLL,00605942634,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 11:41:26 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:25 AM, AWAY AGENCY TOLL,00605942666,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 12:57:52 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:26 AM, AWAY AGENCY TOLL,00605944416,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 1:45:54 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:27 AM, AWAY AGENCY TOLL,00605944401,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 2:14:41 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:27 AM, AWAY AGENCY TOLL,00605942461,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 2:34:39 PM,Delaware DOT - D95,3  ,6
9/12/2022 12:54:28 AM, AWAY AGENCY TOLL,00605944404,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 3:23:31 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:28 AM, AWAY AGENCY TOLL,00605942662,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 3:31:30 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:28 AM, AWAY AGENCY TOLL,00605944407,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 3:46:54 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:29 AM, AWAY AGENCY TOLL,00605942723,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 4:10:07 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:29 AM, AWAY AGENCY TOLL,00605944421,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 4:15:22 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:29 AM, AWAY AGENCY TOLL,00605942675,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 4:29:06 PM,Delaware DOT - D95,3  ,6
9/12/2022 12:54:29 AM, AWAY AGENCY TOLL,00605942475,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 4:33:27 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:31 AM, AWAY AGENCY TOLL,00605944454,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 5:59:04 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:31 AM, AWAY AGENCY TOLL,00605942692,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 6:35:05 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:32 AM, AWAY AGENCY TOLL,00605944403,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 7:25:16 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:32 AM, AWAY AGENCY TOLL,00605942695,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 7:44:31 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:33 AM, AWAY AGENCY TOLL,00605942421,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 7:54:26 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:34 AM, AWAY AGENCY TOLL,00605942660,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 10:16:46 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:34 AM, AWAY AGENCY TOLL,00605944397,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 10:37:19 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:34 AM, AWAY AGENCY TOLL,00605942645,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 10:39:09 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:35 AM, AWAY AGENCY TOLL,00605944417,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 11:24:20 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:35 AM, AWAY AGENCY TOLL,00605942468,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 11:56:04 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:35 AM, AWAY AGENCY TOLL,00605942646,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 12:21:06 AM,Delaware DOT - D95,2  ,4
9/12/2022 12:54:35 AM, AWAY AGENCY TOLL,00605944398,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 12:51:49 AM,Delaware DOT - D95,3  ,6
9/12/2022 12:54:35 AM, AWAY AGENCY TOLL,00605942723,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 1:44:48 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:35 AM, AWAY AGENCY TOLL,00605942629,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 2:18:27 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:35 AM, AWAY AGENCY TOLL,00605942451,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 2:33:10 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:35 AM, AWAY AGENCY TOLL,00605944432,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 3:51:42 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:36 AM, AWAY AGENCY TOLL,00605942686,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 5:41:52 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:39 AM, AWAY AGENCY TOLL,00605944427,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 10:25:04 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:39 AM, AWAY AGENCY TOLL,00605944401,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 10:43:47 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:40 AM, AWAY AGENCY TOLL,00605944404,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 11:17:02 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:40 AM, AWAY AGENCY TOLL,00605944421,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 11:31:16 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:41 AM, AWAY AGENCY TOLL,00605944416,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 12:41:14 PM,Delaware DOT - D95,4  ,7
9/12/2022 12:54:42 AM, AWAY AGENCY TOLL,00605942405,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 1:02:04 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:42 AM, AWAY AGENCY TOLL,00605944407,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 1:27:32 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:42 AM, AWAY AGENCY TOLL,00605942660,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 1:46:34 PM,Delaware DOT - D95,5  ,9
